"Name","Age","Team","Win","Loss","Save","Gm","Gs","IP","K","ERA","WHIP","FIP","xFIP","SIERA","K/9","K%","BB/9","BB%","HR/9","HR%","GB%","FB%","GB/FB","IFFB%","OFFB%","AVG","BABIP","LOB%","Soft%","Med%","Hard%","vFB","vFBfx"
"Noah Syndergaard","22.8","Mets","9","7","0","24","24","150.0","166","3.24","1.05","3.25","2.91","2.95","9.96","27.5%","1.86","5.1%","1.14","24.6%","46.5%","33.6%","1.380","10.5%","23.1%","0.221","75.0%","0.279","19.9%","55.6%","24.6%","97.1","96.5"
"Erasmo Ramirez","25.2","Rays","11","6","0","34","27","163.1","126","3.75","1.13","3.76","3.88","3.90","6.94","18.9%","2.20","6.0%","0.88","29.2%","47.8%","31.8%","1.510","13.0%","18.8%","0.235","70.5%","0.272","18.0%","52.9%","29.2%","90.9","90.9"
"Anibal Sanchez","31.3","Tigers","10","10","0","25","25","157.0","138","4.99","1.28","4.73","4.03","4.03","7.91","20.9%","2.81","7.4%","1.66","27.1%","40.0%","39.1%","1.020","12.7%","26.4%","0.249","70.0%","0.278","18.6%","54.2%","27.1%","91.9","91.8"
"Miguel Gonzalez","31.1","Orioles","9","12","0","26","26","144.2","109","4.91","1.40","5.01","4.48","4.51","6.78","17.5%","3.17","8.2%","1.49","28.9%","40.3%","35.8%","1.130","9.4%","26.4%","0.268","73.1%","0.295","16.7%","54.4%","28.9%","91.1","91.0"
"Brandon McCarthy","32.0","Dodgers","3","0","0","4","4","23.0","29","5.87","1.22","6.22","2.67","2.61","11.35","30.9%","1.57","4.3%","3.52","47.5%","38.3%","40.0%","0.960","8.3%","31.7%","0.267","84.4%","0.288","18.0%","34.4%","47.5%","93.4","93.5"
"Jesse Chavez","31.9","Athletics","7","15","1","30","26","157.0","136","4.18","1.35","3.85","3.89","3.99","7.80","20.2%","2.75","7.1%","1.03","31.5%","43.1%","34.0%","1.270","16.0%","18.0%","0.264","72.0%","0.312","18.9%","49.6%","31.5%","91.2","91.3"
"Jordan Lyles","24.7","Rockies","2","5","0","10","10","49.0","30","5.14","1.49","3.79","4.40","4.70","5.51","14.2%","3.49","9.0%","0.37","28.1%","49.7%","24.5%","2.030","18.4%","6.1%","0.284","60.1%","0.329","21.9%","50.0%","28.1%","92.1","92.3"
"Mike Leake","27.6","2 Teams","11","10","0","30","30","192.0","119","3.70","1.16","4.20","3.93","4.19","5.58","15.3%","2.30","6.3%","1.03","28.5%","51.8%","26.6%","1.940","8.2%","18.4%","0.240","74.8%","0.260","16.5%","55.0%","28.5%","90.9","90.4"
"Matt Moore","26.0","Rays","3","4","0","12","12","63.0","46","5.43","1.54","4.82","4.81","4.67","6.57","16.6%","3.29","8.3%","1.29","31.2%","39.2%","38.7%","1.010","13.9%","24.8%","0.295","69.0%","0.332","21.5%","47.3%","31.2%","92.0","91.8"
"Collin McHugh","28.0","Astros","19","7","0","32","32","203.2","171","3.89","1.28","3.58","3.91","3.91","7.56","19.9%","2.34","6.2%","0.84","24.8%","45.4%","34.6%","1.310","11.3%","23.3%","0.260","74.3%","0.310","21.4%","53.8%","24.8%","90.4","90.3"
"Scott Feldman","32.4","Astros","5","5","0","18","18","108.1","61","3.90","1.31","4.32","4.09","4.44","5.07","13.5%","2.24","6.0%","1.08","22.9%","48.9%","27.5%","1.780","6.1%","21.4%","0.271","75.1%","0.291","18.2%","59.0%","22.9%","90.3","90.0"
"Shelby Miller","24.7","Braves","6","17","0","33","33","205.1","171","3.02","1.25","3.45","4.07","4.16","7.50","19.9%","3.20","8.5%","0.57","26.7%","47.7%","34.1%","1.400","8.9%","25.2%","0.234","73.8%","0.285","21.3%","52.0%","26.7%","94.0","94.1"
"J.A. Happ","32.7","2 Teams","11","8","0","32","31","172.0","151","3.61","1.27","3.41","3.69","3.82","7.90","21.1%","2.35","6.3%","0.84","30.3%","41.6%","34.1%","1.220","12.1%","22.0%","0.258","75.4%","0.312","17.9%","51.8%","30.3%","91.9","92.0"
"Raisel Iglesias","25.5","Reds","3","7","0","18","16","95.1","104","4.15","1.14","3.55","3.28","3.26","9.82","26.3%","2.64","7.1%","1.04","25.8%","47.2%","31.9%","1.480","7.6%","24.3%","0.225","70.6%","0.286","17.6%","56.6%","25.8%","91.7","92.1"
"Ervin Santana","32.5","Twins","7","5","0","17","17","108.0","82","4.00","1.30","4.17","4.42","4.43","6.83","17.9%","3.00","7.9%","1.00","27.5%","40.9%","37.6%","1.090","14.5%","23.1%","0.249","73.9%","0.285","15.8%","56.7%","27.5%","92.5","92.5"
"Jacob deGrom","27.0","Mets","14","8","0","30","30","191.0","205","2.54","0.98","2.70","2.92","2.99","9.66","27.3%","1.79","5.1%","0.75","25.7%","44.4%","34.7%","1.280","8.9%","25.8%","0.210","78.0%","0.271","19.6%","54.7%","25.7%","95.0","94.9"
"Roenis Elias","26.9","Mariners","5","8","0","22","20","115.1","97","4.14","1.30","4.52","4.39","4.29","7.57","19.8%","3.43","9.0%","1.17","31.2%","44.2%","36.4%","1.210","9.0%","27.4%","0.243","73.9%","0.280","18.5%","50.3%","31.2%","91.7","91.6"
"Tyler Wilson","25.8","Orioles","2","2","0","9","5","36.0","13","3.50","1.39","3.77","4.93","5.08","3.25","8.7%","2.75","7.4%","0.25","31.5%","52.0%","30.1%","1.730","2.7%","27.4%","0.285","74.6%","0.309","12.9%","55.6%","31.5%","90.0","90.1"
"Carlos Carrasco","28.3","Indians","14","12","0","30","30","183.2","216","3.63","1.07","2.84","2.66","2.74","10.58","29.6%","2.11","5.9%","0.88","27.3%","51.2%","29.8%","1.720","6.6%","23.2%","0.226","71.8%","0.304","17.6%","55.2%","27.3%","94.5","94.5"
"Chris Rusin","28.7","Rockies","6","10","0","24","22","131.2","86","5.33","1.60","4.71","4.21","4.35","5.88","14.5%","2.80","6.9%","1.30","28.4%","52.1%","27.2%","1.920","9.8%","17.4%","0.309","67.2%","0.339","19.2%","52.4%","28.4%","89.5","87.6"
